x,Kun,Caleb,Kevin,Jenny,Katrina,Russell,Benson,Jonathan,Hannah,Ari,Peter,Jerry,Trini,Cindy,Oscar,buffer,border
Kun,x,,,,,,,,,,,,,,,,
Caleb,,x,,,,,,,,,,,,,,,
Kevin,,,x,,,,,,,,,,,,,,
Jenny,,,,x,,,,,,,,,,,,,
Katrina,,,,,x,,,,,,,,,,,,
Russell,,,,,,x,,,,,,,,,,,
Benson,,,,,,,x,,,,,,,,,,
Jonathan,,,,,,,,x,,,,,,,,,
Hannah,,,,,,,,,x,,,,,,,,
Ari,,,,,,,,,,x,,,,,,,
Peter,,,,,,,,,,,x,,,,,,
Jerry,,,,,,,,,,,,x,,,,,
Trini,,,,,,,,,,,,,x,,,,
Cindy,,,,,,,,,,,,,,x,,,
Oscar,,,,,,,,,,,,,,,x,,
buffer,,,,,,,,,,,,,,,,x,
border,,,,,,,,,,,,,,,,,
,
